Code,Title,Is Replaced By,Removed In
Ac_15_20_41,Invasive and nuisance animal species survey,Ac_15_20_40 Invasive species surveying,2017-01
Ac_15_75_28,Geochemical surveying,Ac_15_75_20 Geochemical surveying,2016-10
Ac_15_75_30,Geoenvironmental exploratory investigating,Ac_15_75_25 Geoenvironmental exploratory investigating,2016-10
Ac_15_75_32,Geoenvironmental ground investigating,Ac_15_75_30 Geoenvironmental ground investigating,2016-10
Ac_15_75_34,Geological surveying,Ac_15_75_45 Geological surveying,2016-10
Ac_15_75_35,Geotechnical bore hole survey,Ac_15_10_10 Borehole surveying,2016-10
Ac_15_75_36,Geotechnical ground investigating,Ac_15_75_50 Geotechnical investigating,2016-10
Ac_15_75_38,Geotechnical substructure investigating,Ac_15_75_55 Geotechnical substructure investigating,2016-10
Ac_20_40,Design activities,Ac_25_20 Design and craft activities,2016-10
Ac_20_40_04,Art,Ac_25_20_15 Craft activities,2016-10
Ac_20_40_13,Ceramics,Ac_25_20_13 Ceramics making,2016-10
Ac_20_40_24,Drawing,Ac_25_20_24 Drawing,2016-10
Ac_20_40_60,Painting,Ac_25_20_60 Painting,2016-10
Ac_20_40_88,Technical drawing,Ac_25_20_88 Technical drawing,2016-10
Ac_20_65_42,Interviewing,Ac_90_20_42 Interviewing,2017-01
Ac_20_70_28,Evidence storing,Ac_90_50_25 Evidence storing,2018-01
Ac_35_10_28,Examining,Ac_35_10_61 Patient examining,2017-01
Ac_35_10_59,Operating,Ac_35_10_85 Surgical operating,2017-01
Ac_35_10_76,Screening,Ac_35_10_62 Patient screening,2017-01
Ac_45_10,Residential activities,Ac_45 Residential activities,2018-04
Ac_45_10_11,Camping,Ac_45_30_11 Camping,2018-04
Ac_45_10_12,Caravanning,Ac_45_30_12 Caravanning,2018-04
Ac_45_10_14,Communal socializing,Ac_45_45_14 Communal socializing,2018-04
Ac_45_10_16,Concierge servicing,Ac_45_70_16 Concierge servicing,2018-04
Ac_45_10_22,Dining,Ac_45_45_22 Dining,2018-04
Ac_45_10_33,Gardening,Ac_45_30_33 Gardening,2018-04
Ac_45_10_79,Sleeping,Ac_45_45_79 Sleeping,2018-04
Ac_45_10_87,Studying,Ac_25_10_84 Studying,2018-01
Ac_45_10_93,Utility activities,Ac_45_70_93 Utility activities,2018-04
Ac_80_05_08,Aircraft storing,Ac_90_50_02 Aircraft storing,2018-01
Ac_80_35_94,Bridge function,Ac_80_94 Bridge function activities,2016-10
Ac_80_35_94_60,Passing over a bridge,Ac_80_94_60 Passing over a bridge,2016-10
Ac_80_35_94_90,Passing under a bridge,Ac_80_94_90 Passing under a bridge,2016-10
Ac_80_45_13,Car parking - indoor,Ac_80_45_40 Indoor vehicle parking,2017-01
Ac_80_45_14,Car parking - outdoor,Ac_80_45_59 Outdoor vehicle parking,2017-01
Co_20_90_77,Sea rescue complexes,Co_20_90_02 Air and sea rescue complexes,2017-01
Co_25_50_85,Statues,Pr_40_50_05_85 Statuary,2017-01
Co_30_10_33,Gas extraction complexes,Co_55_05_30 Gas extraction complexes,2017-01
Co_30_10_59,Oil extraction complexes,Co_55_10_40 Oil extraction complexes,2017-01
Co_35_50_16,Crèches and nurseries,SL_35_50_17 Crèches and nurseries,2017-01
Co_45_10_39,Houses,Co_45_10_74 Residential properties,2017-01
Co_50_20_10,Wastewater collection complexes,Co_50_35 Wastewater collection complexes,2021-01
Co_50_20_20,Wastewater collection networks,Co_50_35_96 Wastewater collection networks,2021-01
