Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
EF_15,15,,,,,Earthworks and remediation,,EF_15 : Earthworks and remediation,,,,,
EF_15_10,15,10,,,,Groundworks and earthworks,,EF_15_10 : Groundworks and earthworks,,,,,
EF_15_30,15,30,,,,"Remediation, repair and renovation",,"EF_15_30 : Remediation, repair and renovation",,,,,
EF_20,20,,,,,Structural elements,,EF_20 : Structural elements,,,,,
EF_20_05,20,05,,,,Substructure,,EF_20_05 : Substructure,,,,,
EF_20_05_30,20,05,30,,,Foundations,,EF_20_05_30 : Foundations,,,IfcBuildingSystemType.FOUNDATION,IfcBuildingSystemType.FOUNDATION,
EF_20_10,20,10,,,,Superstructure,,EF_20_10 : Superstructure,,,,,
EF_20_10_15,20,10,15,,,Composite structures,,EF_20_10_15 : Composite structures,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_20_10_30,20,10,30,,,Framed structures,,EF_20_10_30 : Framed structures,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_20_10_50,20,10,50,,,Membrane structures,,EF_20_10_50 : Membrane structures,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_20_10_75,20,10,75,,,Shell structures,,EF_20_10_75 : Shell structures,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_20_10_80,20,10,80,,,Solid structures,,EF_20_10_80 : Solid structures,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_20_50,20,50,,,,Bridge structures,,EF_20_50 : Bridge structures,,,,,
EF_20_50_01,20,50,01,,,Abutments,,EF_20_50_01 : Abutments,,,,,
EF_20_50_07,20,50,07,,,Bearings,,EF_20_50_07 : Bearings,,,,,
EF_20_50_10,20,50,10,,,Bridge decks,,EF_20_50_10 : Bridge decks,,,,,
EF_20_50_64,20,50,64,,,Piers,,EF_20_50_64 : Piers,,,,,
EF_20_50_82,20,50,82,,,Spans,,EF_20_50_82 : Span,,,,,
EF_25,25,,,,,Wall and barrier elements,,EF_25 : Wall and barrier elements,,,,,
EF_25_10,25,10,,,,Walls,,EF_25_10 : Walls,,,,,
EF_25_10_25,25,10,25,,,External walls,,EF_25_10_25 : External walls,,,IfcBuildingSystemType.OUTERSHELL,IfcBuildingSystemType.OUTERSHELL,
EF_25_10_27,25,10,27,,,External walls below DPC,,EF_25_10_27 : External walls below DPC,,,,,
EF_25_10_28,25,10,28,,,External walls below ground,,EF_25_10_28 : External walls below ground,,,,,
EF_25_10_30,25,10,30,,,Free-standing walls,,EF_25_10_30 : Free-standing walls,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_25_10_40,25,10,40,,,Internal walls,,EF_25_10_40 : Internal walls,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_25_10_60,25,10,60,,,Parapet walls,,EF_25_10_60 : Parapet walls,,,,,
EF_25_30,25,30,,,,Openings,,EF_25_30 : Openings,,,,,
EF_25_30_25,25,30,25,,,Doors,,EF_25_30_25 : Doors,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_30_33,25,30,33,,,Gates,,EF_25_30_33 : Gates,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_30_36,25,30,36,,,Hatches,,EF_25_30_36 : Hatches,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_30_45,25,30,45,,,Louvres,,EF_25_30_45 : Louvres,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_30_95,25,30,95,,,Vents,,EF_25_30_95 : Vents,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_30_97,25,30,97,,,Windows,,EF_25_30_97 : Windows,,,IfcBuildingSystemType.FENESTRATION,IfcBuildingSystemType.FENESTRATION,
EF_25_55,25,55,,,,Barriers,,EF_25_55 : Barriers,,,,,
EF_25_55_28,25,55,28,,,Fences,,EF_25_55_28 : Fences,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_25_55_30,25,55,30,,,Fixed barriers,,EF_25_55_30 : Fixed barriers,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_25_55_59,25,55,59,,,Opening barriers,,EF_25_55_59 : Opening barriers,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_30,30,,,,,"Roofs, floor and paving elements",,"EF_30 : Roofs, floor and paving elements",,,,,
EF_30_05,30,05,,,,Building levels,,EF_30_05 : Building levels,,,,,
EF_30_05_06,30,05,06,,,Basement level,,EF_30_05_06 : Basement level,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_30_05_34,30,05,34,,,Ground level,,EF_30_05_34 : Ground level,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_30_05_51,30,05,51,,,Mezzanine level,,EF_30_05_51 : Mezzanine level,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_30_05_93,30,05,93,,,Upper level,,EF_30_05_93 : Upper level,,,IfcBuildingSystemType.LOADBEARING,IfcBuildingSystemType.LOADBEARING,
EF_30_10,30,10,,,,Roofs,,EF_30_10 : Roofs,,,,,
EF_30_10_04,30,10,04,,,Arched roofs,,EF_30_10_04 : Arched roofs,,,IfcBuildingSystemType.OUTERSHELL,IfcBuildingSystemType.OUTERSHELL,
EF_30_10_18,30,10,18,,,Curved roofs,,EF_30_10_18 : Curved roofs,,,,,
EF_30_10_23,30,10,23,,,Domed roofs,,EF_30_10_23 : Domed roofs,,,IfcBuildingSystemType.OUTERSHELL,IfcBuildingSystemType.OUTERSHELL,
EF_30_10_30,30,10,30,,,Flat roofs,,EF_30_10_30 : Flat roofs,,,IfcBuildingSystemType.OUTERSHELL,IfcBuildingSystemType.OUTERSHELL,
EF_30_10_64,30,10,64,,,Pitched roofs,,EF_30_10_64 : Pitched roofs,,,IfcBuildingSystemType.OUTERSHELL,IfcBuildingSystemType.OUTERSHELL,
EF_30_20,30,20,,,,Floors,,EF_30_20 : Floors,,,,,
EF_30_20_06,30,20,06,,,Basement floors,,EF_30_20_06 : Basement floors,,,,,
EF_30_20_34,30,20,34,,,Ground floors,,EF_30_20_34 : Ground floors,,,,,
EF_30_20_52,30,20,52,,,Mezzanine floors,,EF_30_20_52 : Mezzanine floors,,,,,
EF_30_20_93,30,20,93,,,Upper floors,,EF_30_20_93 : Upper floors,,,,,
EF_30_25,30,25,,,,Ceilings and soffits,,EF_30_25 : Ceilings and soffits,,,,,
EF_30_25_12,30,25,12,,,Ceilings,,EF_30_25_12 : Ceilings,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_30_25_80,30,25,80,,,Soffits,,EF_30_25_80 : Soffits,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_30_30,30,30,,,,Decks,,EF_30_30 : Decks,,,,,
EF_30_60,30,60,,,,Pavements,,EF_30_60 : Pavements,,,,,
