Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
Ma_20,20,,,,,Combination inorganic/ organic materials,,,,,,,
Ma_20_01,20,01,,,,Adobe,,,,,,,
Ma_20_03,20,03,,,,Aggregates,,,,,,,
Ma_20_03_02,20,03,02,,,Air-cooled steel slag,,,,,,,
Ma_20_03_04,20,03,04,,,All-in normal and heavyweight aggregates,,,,,,,
Ma_20_03_06,20,03,06,,,Barytes aggregates,,,,,,,
Ma_20_03_07,20,03,07,,,"Base, bed and fill aggregates",,,,,,,
Ma_20_03_07_03,20,03,07,03,,"Base, bed and fill all-in aggregates",,,,,,,
Ma_20_03_07_15,20,03,07,15,,"Base, bed and fill coarse aggregates",,,,,,,
Ma_20_03_07_30,20,03,07,30,,"Base, bed and fill fine aggregates",,,,,,,
Ma_20_03_10,20,03,10,,,Blinding aggregates,,,,,,,
Ma_20_03_10_15,20,03,10,15,,Blinding coarse aggregates,,,,,,,
Ma_20_03_10_30,20,03,10,30,,Blinding fine aggregates,,,,,,,
Ma_20_03_13,20,03,13,,,Clinker,,,,,,,
Ma_20_03_15,20,03,15,,,Coarse aggregates,,,,,,,
Ma_20_03_15_04,20,03,15,04,,Armourstone coarse aggregates,,,,,,,
Ma_20_03_15_34,20,03,15,34,,Coarse general aggregates,,,,,,,
Ma_20_03_15_47,20,03,15,47,,Coarse lightweight aggregates for concrete and mortar,,,,,,,
Ma_20_03_15_57,20,03,15,57,,Coarse normal and heavyweight aggregates,,,,,,,
Ma_20_03_19,20,03,19,,,Crushed stone aggregates,,,,,,,
Ma_20_03_19_56,20,03,19,56,,Natural stone aggregates,,,,,,,
Ma_20_03_22,20,03,22,,,Decorative aggregates,,,,,,,
Ma_20_03_22_08,20,03,22,08,,Bonded surfacing decorative aggregates,,,,,,,
Ma_20_03_22_47,20,03,22,47,,Loose surfacing decorative aggregates,,,,,,,
Ma_20_03_28,20,03,28,,,Expanded aggregates,,,,,,,
