Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
PC_10,10,,,,,Identifying properties,,,,,,,
PC_10_05,10,05,,,,Administrative identifiers,,,,,,,
PC_10_05_23,10,05,23,,,District,,,,,,,
PC_10_05_48,10,05,48,,,Local authority,,,,,,,
PC_10_05_56,10,05,56,,,Nation,,,,,,,
PC_10_05_71,10,05,71,,,Region,,,,,,,
PC_10_05_96,10,05,96,,,Ward,,,,,,,
PC_10_10,10,10,,,,Building identifiers,,,,,,,
PC_10_10_06,10,10,06,,,Building address,,,,,,,
PC_10_10_08,10,10,08,,,Building age band,,,,,,,
PC_10_10_09,10,10,09,,,Building registration reference number,,,,,,,
PC_10_10_36,10,10,36,,,Height of building,,,,,,,
PC_10_10_56,10,10,56,,,Number of residential units,,,,,,,
PC_10_10_57,10,10,57,,,Number of storeys,,,,,,,
PC_10_10_58,10,10,58,,,Number of storeys below ground level,,,,,,,
PC_10_10_92,10,10,92,,,Unique property reference number,,,,,,,
PC_10_10_98,10,10,98,,,Year building completed,,,,,,,
PC_10_15,10,15,,,,Communication identifiers,,,,,,,
PC_10_15_27,10,15,27,,,Email address,,,,,,,
PC_10_15_29,10,15,29,,,Fax number,,,,,,,
PC_10_15_41,10,15,41,,,Internet protocol (IP) address,,,,,,,
PC_10_15_88,10,15,88,,,Telephone number,,,,,,,
PC_10_15_88_46,10,15,88,46,,Landline telephone number,,,,,,,
PC_10_15_88_53,10,15,88,53,,Mobile telephone number,,,,,,,
PC_10_15_92,10,15,92,,,Uniform resource locator (URL),,,,,,,
PC_10_45,10,45,,,,Location identifiers,,,,,,,
PC_10_45_34,10,45,34,,,Geographic identifiers,,,,,,,
PC_10_45_34_03,10,45,34,03,,Altitude,,,,,,,
PC_10_45_34_34,10,45,34,34,,Global Positioning System (GPS) position,,,,,,,
PC_10_45_34_46,10,45,34,46,,Latitude,,,,,,,
PC_10_45_34_48,10,45,34,48,,Longitude,,,,,,,
PC_10_45_34_97,10,45,34,97,,World Geodetic System 1984,,,,,,,
PC_10_45_60,10,45,60,,,Space identifiers,,,,,,,
PC_10_45_60_35,10,45,60,35,,Grids,,,,,,,
PC_10_50,10,50,,,,Manufacturer identifiers,,,,,,,
PC_10_50_22,10,50,22,,,Designer name,,,,,,,
PC_10_50_50,10,50,50,,,Manufacturer name,,,,,,,
PC_10_50_52,10,50,52,,,Manufacturer's certification,,,,,,,
PC_10_65,10,65,,,,Product identifiers,,,,,,,
PC_10_65_08,10,65,08,,,Brand name,,,,,,,
PC_10_65_26,10,65,26,,,Environmental product declaration (EPD),,,,,,,
PC_10_65_28,10,65,28,,,European article number (EAN),,,,,,,
PC_10_65_30,10,65,30,,,Fabricator name,,,,,,,
PC_10_65_50,10,65,50,,,Product manufacturer,,,,,,,
PC_10_65_60,10,65,60,,,Patent number,,,,,,,
PC_10_65_65,10,65,65,,,Product name,,,,,,,
PC_10_65_82,10,65,82,,,Stock-keeping unit (SKU) number,,,,,,,
PC_10_65_85,10,65,85,,,Supplier name,,,,,,,
PC_10_65_89,10,65,89,,,Trademark number,,,,,,,
PC_10_65_91,10,65,91,,,Type,,,,,,,
PC_10_65_93,10,65,93,,,Universal product code (UPC),,,,,,,
PC_10_80,10,80,,,,Site identifiers,,,,,,,
PC_10_80_65,10,80,65,,,Postal code,,,,,,,
PC_10_80_77,10,80,77,,,Site address,,,,,,,
PC_10_80_79,10,80,79,,,Site coordinates,,,,,,,
PC_10_80_81,10,80,81,,,Site name,,,,,,,
PC_10_80_83,10,80,83,,,Site number,,,,,,,
PC_10_90,10,90,,,,Test identifiers,,,,,,,
PC_10_90_29,10,90,29,,,Factory test identifiers,,,,,,,
PC_10_90_29_42,10,90,29,42,,Factory inspection method,,,,,,,
PC_10_90_29_46,10,90,29,46,,Factory level of compliance,,,,,,,
PC_10_90_29_71,10,90,29,71,,Factory reference grade,,,,,,,
PC_10_90_29_88,10,90,29,88,,Factory test date,,,,,,,
PC_10_90_29_90,10,90,29,90,,Factory test method,,,,,,,
PC_10_90_31,10,90,31,,,Field test identifiers,,,,,,,
PC_10_90_31_42,10,90,31,42,,Field inspection method,,,,,,,
PC_10_90_31_46,10,90,31,46,,Field level of compliance,,,,,,,
PC_10_90_31_71,10,90,31,71,,Field reference grade,,,,,,,
PC_10_90_31_88,10,90,31,88,,Field test date,,,,,,,
PC_10_90_31_90,10,90,31,90,,Field test method,,,,,,,
PC_10_90_41,10,90,41,,,Inspection protocol,,,,,,,
PC_10_90_65,10,90,65,,,Pretest conditions,,,,,,,
PC_10_90_71,10,90,71,,,Reference standard,,,,,,,
PC_10_90_87,10,90,87,,,Test authority,,,,,,,
PC_10_90_89,10,90,89,,,Test conditions,,,,,,,
PC_10_90_91,10,90,91,,,Test method,,,,,,,
PC_20,20,,,,,Descriptive properties,,,,,,,
PC_20_05,20,05,,,,Administrative description attributes,,,,,,,
PC_20_05_15,20,05,15,,,Cost properties,,,,,,,
PC_20_05_15_15,20,05,15,15,,Cost discount,,,,,,,
PC_20_05_15_17,20,05,15,17,,Cost value,,,,,,,
PC_20_05_15_19,20,05,15,19,,Currency type,,,,,,,
PC_20_05_15_42,20,05,15,42,,Installation cost,,,,,,,
PC_20_05_15_50,20,05,15,50,,Manufacturer's recommended retail price (RRP),,,,,,,
PC_20_05_15_68,20,05,15,68,,Purchase terms,,,,,,,
PC_20_05_15_71,20,05,15,71,,Retail cost,,,,,,,
PC_20_05_15_77,20,05,15,77,,Shipping cost,,,,,,,
PC_20_05_15_93,20,05,15,93,,Unit price,,,,,,,
PC_20_05_15_96,20,05,15,96,,Wholesale cost,,,,,,,
PC_20_05_22,20,05,22,,,Delivery properties,,,,,,,
PC_20_05_22_22,20,05,22,22,,Delivery marking,,,,,,,
PC_20_05_22_24,20,05,22,24,,Delivery terms,,,,,,,
PC_20_05_22_77,20,05,22,77,,Shipper type,,,,,,,
PC_20_05_22_79,20,05,22,79,,Shipping mode,,,,,,,
PC_20_05_22_81,20,05,22,81,,Shipping packaging,,,,,,,
PC_20_05_30,20,05,30,,,Floor area,,,,,,,
PC_20_05_30_30,20,05,30,30,,Floor area per occupant,,,,,,,
PC_20_05_30_32,20,05,30,32,,Floor area ratio,,,,,,,
PC_20_05_30_35,20,05,30,35,,Gross internal floor area (GIFA),,,,,,,
PC_20_05_30_56,20,05,30,56,,Net rentable area,,,,,,,
PC_20_05_96,20,05,96,,,Warranty properties,,,,,,,
PC_20_05_96_41,20,05,96,41,,Installer’s warranty terms,,,,,,,
PC_20_05_96_42,20,05,96,42,,Installer’s warranty type,,,,,,,
PC_20_05_96_50,20,05,96,50,,Manufacturer’s warranty terms,,,,,,,
PC_20_05_96_52,20,05,96,52,,Manufacturer’s warranty type,,,,,,,
PC_20_05_96_94,20,05,96,94,,Warranty end date,,,,,,,
PC_20_05_96_95,20,05,96,95,,Warranty period,,,,,,,
PC_20_05_96_96,20,05,96,96,,Warranty service location,,,,,,,
PC_20_05_96_97,20,05,96,97,,Warranty start date,,,,,,,
PC_20_15,20,15,,,,Colour-related attributes,,,,,,,
PC_20_15_09,20,15,09,,,Colour brightness,,,,,,,
PC_20_15_13,20,15,13,,,Chroma,,,,,,,
PC_20_15_16,20,15,16,,,Colour constancy,,,,,,,
PC_20_15_17,20,15,17,,,Colour intensity,,,,,,,
PC_20_15_18,20,15,18,,,Colourfulness,,,,,,,
PC_20_15_39,20,15,39,,,Hue,,,,,,,
PC_20_15_47,20,15,47,,,Lightness,,,,,,,
PC_20_15_75,20,15,75,,,Saturation,,,,,,,
PC_20_25,20,25,,,,Dimension attributes,,,,,,,
PC_20_25_01,20,25,01,,,Angle,,,,,,,
PC_20_25_01_65,20,25,01,65,,Plane angle,,,,,,,
PC_20_25_01_78,20,25,01,78,,Slope angle,,,,,,,
PC_20_25_01_80,20,25,01,80,,Solid angle,,,,,,,
PC_20_25_02,20,25,02,,,Angular dimension,,,,,,,
PC_20_25_04,20,25,04,,,Arbitrary dimension,,,,,,,
PC_20_25_05,20,25,05,,,Area,,,,,,,
PC_20_25_46,20,25,46,,,Latitudinal dimensions,,,,,,,
PC_20_25_46_14,20,25,46,14,,Circumference,,,,,,,
PC_20_25_46_22,20,25,46,22,,Diameter,,,,,,,
PC_20_25_46_33,20,25,46,33,,Gauge,,,,,,,
PC_20_25_46_42,20,25,46,42,,Inside diameter,,,,,,,
PC_20_25_46_59,20,25,46,59,,Outside diameter,,,,,,,
PC_20_25_46_62,20,25,46,62,,Perimeter,,,,,,,
PC_20_25_46_70,20,25,46,70,,Radius,,,,,,,
PC_20_25_46_97,20,25,46,97,,Width,,,,,,,
PC_20_25_48,20,25,48,,,Longitudinal dimensions,,,,,,,
PC_20_25_48_22,20,25,48,22,,Distance,,,,,,,
PC_20_25_48_47,20,25,48,47,,Length,,,,,,,
PC_20_25_48_80,20,25,48,80,,Span,,,,,,,
PC_20_25_80,20,25,80,,,Spacing,,,,,,,
PC_20_25_88,20,25,88,,,Thickness,,,,,,,
PC_20_25_88_24,20,25,88,24,,Dry film thickness,,,,,,,
PC_20_25_88_51,20,25,88,51,,Mean thickness,,,,,,,
PC_20_25_88_65,20,25,88,65,,Product thickness,,,,,,,
PC_20_25_88_88,20,25,88,88,,Thickness of cover,,,,,,,
PC_20_25_94,20,25,94,,,Vertical dimensions,,,,,,,
PC_20_25_94_22,20,25,94,22,,Depth,,,,,,,
PC_20_25_94_27,20,25,94,27,,Elevation,,,,,,,
PC_20_25_94_29,20,25,94,29,,Fall,,,,,,,
PC_20_25_94_34,20,25,94,34,,Gradient,,,,,,,
PC_20_25_94_37,20,25,94,37,,Height,,,,,,,
PC_20_25_94_72,20,25,94,72,,Rise,,,,,,,
PC_20_25_95,20,25,95,,,Volume,,,,,,,
PC_20_25_95_02,20,25,95,02,,Air infiltration volume,,,,,,,
PC_20_25_95_04,20,25,95,04,,Air specific volume,,,,,,,
PC_20_25_95_24,20,25,95,24,,Dry volume,,,,,,,
PC_20_25_95_30,20,25,95,30,,Fluid volume,,,,,,,
PC_20_25_95_77,20,25,95,77,,Second moment of area,,,,,,,
PC_20_25_95_78,20,25,95,78,,Section modulus,,,,,,,
PC_20_25_95_80,20,25,95,80,,Specific volume,,,,,,,
PC_20_25_95_95,20,25,95,95,,Volume per unit time,,,,,,,
PC_20_25_95_96,20,25,95,96,,Water penetration volume,,,,,,,
PC_20_30,20,30,,,,Fabrication properties,,,,,,,
PC_20_30_04,20,30,04,,,Applied heat treatment technique,,,,,,,
PC_20_30_06,20,30,06,,,Backing type,,,,,,,
PC_20_30_20,20,30,20,,,Custom-made,,,,,,,
PC_20_30_29,20,30,29,,,Fabrication location,,,,,,,
PC_20_30_29_58,20,30,29,58,,Off-site fabrication,,,,,,,
PC_20_30_29_59,20,30,29,59,,On-site fabrication,,,,,,,
PC_20_30_36,20,30,36,,,Handmade,,,,,,,
PC_20_30_50,20,30,50,,,Made-to-order,,,,,,,
PC_20_30_56,20,30,56,,,New-build,,,,,,,
PC_20_30_65,20,30,65,,,Pre-assembled,,,,,,,
PC_20_30_67,20,30,67,,,Prefabricated,,,,,,,
PC_20_30_71,20,30,71,,,Repaired,,,,,,,
PC_20_30_83,20,30,83,,,Stock,,,,,,,
PC_20_30_85,20,30,85,,,Surface type,,,,,,,
PC_20_32,20,32,,,,Form attributes,,,,,,,
PC_20_32_13,20,32,13,,,Cellular,,,,,,,
PC_20_32_24,20,32,24,,,Domed,,,,,,,
PC_20_32_26,20,32,26,,,Edge,,,,,,,
PC_20_32_26_27,20,32,26,27,,Edge profile,,,,,,,
PC_20_32_29,20,32,29,,,Face,,,,,,,
PC_20_32_30,20,32,30,,,Flat,,,,,,,
PC_20_32_34,20,32,34,,,Geometry,,,,,,,
PC_20_32_36,20,32,36,,,Hand,,,,,,,
PC_20_32_36_47,20,32,36,47,,Left-handed,,,,,,,
PC_20_32_36_72,20,32,36,72,,Right-handed,,,,,,,
PC_20_32_52,20,32,52,,,Modular,,,,,,,
PC_20_32_60,20,32,60,,,Decorative pattern,,,,,,,
PC_20_32_60_60,20,32,60,60,,Pattern scale,,,,,,,
PC_20_32_62,20,32,62,,,Perforated,,,,,,,
PC_20_32_65,20,32,65,,,Point,,,,,,,
PC_20_32_67,20,32,67,,,Profile,,,,,,,
PC_20_32_71,20,32,71,,,Relief pattern,,,,,,,
PC_20_32_71_37,20,32,71,37,,Relief pattern height,,,,,,,
PC_20_32_71_60,20,32,71,60,,Relief pattern scale,,,,,,,
PC_20_32_73,20,32,73,,,Repeated,,,,,,,
PC_20_32_75,20,32,75,,,Reversibility,,,,,,,
PC_20_32_79,20,32,79,,,Shape,,,,,,,
PC_20_32_79_42,20,32,79,42,,Irregular shape,,,,,,,
PC_20_32_79_59,20,32,79,59,,Organic shape,,,,,,,
PC_20_32_79_71,20,32,79,71,,Rectangular,,,,,,,
PC_20_32_79_73,20,32,79,73,,Round,,,,,,,
PC_20_32_79_81,20,32,79,81,,Square,,,,,,,
PC_20_32_94,20,32,94,,,Vertex,,,,,,,
PC_20_35,20,35,,,,Geophysical properties,,,,,,,
PC_20_35_14,20,35,14,,,Clay content,,,,,,,
PC_20_35_51,20,35,51,,,Magnetic susceptibility,,,,,,,
PC_20_35_53,20,35,53,,,Metal content,,,,,,,
PC_20_35_80,20,35,80,,,Seismic velocity,,,,,,,
PC_20_35_97,20,35,97,,,Water saturation,,,,,,,
PC_20_45,20,45,,,,Key building properties,,,,,,,
PC_20_45_03,20,45,03,,,Ancillary buildings principal use,,,,,,,
PC_20_45_05,20,45,05,,,Ancillary buildings subordinate use,,,,,,,
PC_20_45_36,20,45,36,,,Higher risk buildings principal use,,,,,,,
PC_20_45_38,20,45,38,,,Higher risk buildings subordinate use,,,,,,,
PC_20_45_58,20,45,58,,,Outbuildings principal use,,,,,,,
PC_20_45_59,20,45,59,,,Outbuildings subordinate use,,,,,,,
PC_20_45_80,20,45,80,,,Number of staircases,,,,,,,
PC_20_45_82,20,45,82,,,Storey below ground level principal use,,,,,,,
PC_20_45_84,20,45,84,,,Storey below ground level subordinate use,,,,,,,
PC_20_50,20,50,,,,Manufacturer description properties,,,,,,,
PC_20_50_50,20,50,50,,,Manufacture production rate,,,,,,,
PC_20_50_52,20,50,52,,,Manufacturer experience,,,,,,,
PC_20_50_54,20,50,54,,,Method of manufacture,,,,,,,
PC_20_50_81,20,50,81,,,Source availability limitations,,,,,,,
PC_20_53,20,53,,,,Mass attributes,,,,,,,
PC_20_53_51,20,53,51,,,Mass,,,,,,,
PC_20_53_51_50,20,53,51,50,,Mass per unit area,,,,,,,
PC_20_53_51_51,20,53,51,51,,Mass per unit length,,,,,,,
PC_20_53_51_52,20,53,51,52,,Mass per unit time,,,,,,,
PC_20_53_51_54,20,53,51,54,,Molar mass,,,,,,,
PC_20_53_97,20,53,97,,,Weight,,,,,,,
PC_20_53_97_78,20,53,97,78,,Shipping weight,,,,,,,
PC_20_53_97_97,20,53,97,97,,Weight classification,,,,,,,
PC_20_55,20,55,,,,Material attributes,,,,,,,
PC_20_55_17,20,55,17,,,Constituent materials,,,,,,,
PC_20_55_71,20,55,71,,,Raw material,,,,,,,
PC_20_60,20,60,,,,Odour,,,,,,,
PC_20_65,20,65,,,,Positional attributes,,,,,,,
PC_20_65_01,20,65,01,,,Above ground,,,,,,,
PC_20_65_10,20,65,10,,,Buried,,,,,,,
PC_20_65_42,20,65,42,,,In situ,,,,,,,
PC_20_65_48,20,65,48,,,Locational attributes,,,,,,,
PC_20_65_48_08,20,65,48,08,,Bottom,,,,,,,
PC_20_65_48_13,20,65,48,13,,Centre,,,,,,,
PC_20_65_48_17,20,65,48,17,,Corner,,,,,,,
PC_20_65_48_27,20,65,48,27,,End,,,,,,,
PC_20_65_48_31,20,65,48,31,,Front,,,,,,,
PC_20_65_48_72,20,65,48,72,,Rear,,,,,,,
PC_20_65_48_80,20,65,48,80,,Side,,,,,,,
PC_20_65_48_89,20,65,48,89,,Top,,,,,,,
PC_20_65_59,20,65,59,,,Orientation,,,,,,,
PC_20_65_59_23,20,65,59,23,,Diagonal,,,,,,,
PC_20_65_59_38,20,65,59,38,,Horizontal,,,,,,,
PC_20_65_59_48,20,65,59,48,,Longitudinal,,,,,,,
PC_20_65_59_64,20,65,59,64,,Perpendicular,,,,,,,
PC_20_65_59_70,20,65,59,70,,Radial,,,,,,,
PC_20_65_59_90,20,65,59,90,,Transverse,,,,,,,
PC_20_65_59_94,20,65,59,94,,Vertical,,,,,,,
PC_20_65_72,20,65,72,,,Relative position,,,,,,,
PC_20_65_72_04,20,65,72,04,,Attached,,,,,,,
PC_20_65_72_15,20,65,72,15,,Central,,,,,,,
PC_20_65_72_18,20,65,72,18,,Compass points,,,,,,,
PC_20_65_72_18_26,20,65,72,18,26,East,,,,,,,
PC_20_65_72_18_55,20,65,72,18,55,North,,,,,,,
PC_20_65_72_18_56,20,65,72,18,56,North-east,,,,,,,
PC_20_65_72_18_58,20,65,72,18,58,North-west,,,,,,,
PC_20_65_72_18_80,20,65,72,18,80,South,,,,,,,
PC_20_65_72_18_81,20,65,72,18,81,South-east,,,,,,,
PC_20_65_72_18_83,20,65,72,18,83,South-west,,,,,,,
PC_20_65_72_18_95,20,65,72,18,95,West,,,,,,,
PC_20_65_72_23,20,65,72,23,,Detached,,,,,,,
PC_20_65_72_25,20,65,72,25,,Downstream,,,,,,,
PC_20_65_72_26,20,65,72,26,,Elevated,,,,,,,
