Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
PM_10,10,,,,,Project information,,PM_10 : Project information,,,,,
PM_10_10,10,10,,,,Project,,PM_10_10 : Project,,,,,
PM_10_10_10,10,10,10,,,Initial project brief,,PM_10_10_10 : Initial project brief,,,,,
PM_10_10_20,10,10,20,,,Final project brief,,PM_10_10_20 : Final project brief,,,,,
PM_10_10_60,10,10,60,,,Project description,"00-05-10/101 Project description; 00-05-10/165 Drawings; 00-05-70/110 Project location; 00-05-70/130 Existing buildings on, or adjacent to the site; 00-05-70/150 Surrounding land and building uses; 00-05-70/170 Access; 00-10-70/110A Preparatory work by others; 00-10-70/115 Contract area/ types of work; 00-10-70/120B The Works; 00-10-70/125 Section details; 00-10-70/130A Work by others concurrent with the Contract; 00-10-70/135 The subcontract work; 00-10-70/140A Completion work by others; 00-10-70/150A Work by, or on behalf of employer; 00-10-70/160 Products provided by, or on behalf of, employer/ client/ purchaser; 00-10-70/170 Nominated or named subcontract; 00-10-70/180 Nominated supply; 00-10-70/190A Work by Local Authority; 00-10-70/200A Work by statutory undertakers; 00-70-70/700C Approved firms",PM_10_10_60 : Project description,,,,,
PM_10_20,10,20,,,,Client requirements,,PM_10_20 : Client requirements,,,,,
PM_10_20_03,10,20,03,,,Appointment document,,PM_10_20_03 : Appointment document,,,,,
PM_10_20_07,10,20,07,,,Brief,,PM_10_20_07 : Brief,,,,,
PM_10_20_09,10,20,09,,,Buildability statement,,PM_10_20_09 : Buildability statement,,,,,
PM_10_20_10,10,20,10,,,Building registration application,,PM_10_20_10 : Building registration application,,,,,
PM_10_20_11,10,20,11,,,Carbon road map,,PM_10_20_11 : Carbon road map,,,,,
PM_10_20_12,10,20,12,,,Carbon strategy,,PM_10_20_12 : Carbon strategy,,,,,
PM_10_20_13,10,20,13,,,Community analysis,,PM_10_20_13 : Community analysis,,,,,
PM_10_20_14,10,20,14,,,Community and tenant liaison plan,,PM_10_20_14 : Community and tenant liaison plan,,,,,
PM_10_20_16,10,20,16,,,Construction industry registration scheme requirements,,PM_10_20_16 : Construction industry registration scheme requirements,,,,,
PM_10_20_17,10,20,17,,,Core requirements statement,,PM_10_20_17 : Core requirements statement,,,,,
PM_10_20_18,10,20,18,,,Cost benefit analysis,,PM_10_20_18 : Cost benefit analysis,,,,,
PM_10_20_21,10,20,21,,,Data quality plans,,PM_10_20_21 : Data quality plans,,,,,
PM_10_20_25,10,20,25,,,Employer's requirements,,PM_10_20_25 : Employer's requirements,,,,,
PM_10_20_26,10,20,26,,,Environmental policy,,PM_10_20_26 : Environmental policy,,,,,
PM_10_20_27,10,20,27,,,Environmental reporting information,,PM_10_20_27 : Environmental reporting information,,,,,
PM_10_20_28,10,20,28,,,Exchange information requirements,00-05-10/180 Employer's information requirements (EIR); 00-70-70/760 Nominated subcontractors or suppliers: Production information; 00-70-70/765 Named subcontractors: Production information,PM_10_20_28 : Exchange information requirements,,,,,
PM_10_20_30,10,20,30,,,Feasibility study,,PM_10_20_30 : Feasibility study,,,,,
PM_10_20_46,10,20,46,,,Landlord and tenant liaison plan,,PM_10_20_46 : Landlord and tenant liaison plan,,,,,
PM_10_20_69,10,20,69,,,Quality plan,,PM_10_20_69 : Quality plan,,,,,
PM_10_20_73,10,20,73,,,Site appraisals,,PM_10_20_73 : Site appraisals,,,,,
PM_10_20_75,10,20,75,,,Stakeholder engagement plan,,PM_10_20_75 : Stakeholder engagement plan,,,,,
PM_10_20_82,10,20,82,,,Statement of requirements,,PM_10_20_82 : Statement of requirements,,,,,
PM_10_20_84,10,20,84,,,Statement of security requirements,,PM_10_20_84 : Statement of security requirements,,,,,
PM_10_20_86,10,20,86,,,Sustainable development engagement plan,,PM_10_20_86 : Sustainable development engagement plan,,,,,
PM_10_20_90,10,20,90,,,Technical statement of requirements (TSOR),,PM_10_20_90 : Technical statement of requirements (TSOR),,,,,
PM_10_20_92,10,20,92,,,User requirement document,,PM_10_20_92 : User requirement document,,,,,
PM_10_80,10,80,,,,Space management requirements,,PM_10_80 : Space management requirements,,,,,
PM_10_80_10,10,80,10,,,Accommodation and layout plan,,PM_10_80_10 : Accommodation and layout plan,,,,,
PM_10_80_27,10,80,27,,,Equipment layout plan,,PM_10_80_27 : Equipment layout plan,,,,,
PM_10_80_75,10,80,75,,,Space design,,PM_10_80_75 : Space design,,,,,
PM_10_80_80,10,80,80,,,Space plan,,PM_10_80_80 : Space plan,,,,,
PM_10_80_85,10,80,85,,,Space standard,,PM_10_80_85 : Space standard,,,,,
PM_10_90,10,90,,,,Transport management requirements,,PM_10_90 : Transport management requirements,,,,,
PM_10_90_01,10,90,01,,,Abnormal indivisible load (AIL) schedule,,PM_10_90_01 : Abnormal indivisible load (AIL) schedule,,,,,
PM_10_90_04,10,90,04,,,Transport assessment and travel plan,,PM_10_90_04 : Transport assessment and travel plan,,,,,
PM_10_90_31,10,90,31,,,Freight management plan,,PM_10_90_31 : Freight management plan,,,,,
PM_10_90_50,10,90,50,,,Transport management strategy,,PM_10_90_50 : Transport management strategy,,,,,
PM_10_90_85,10,90,85,,,Staff and visitor travel plan,,PM_10_90_85 : Staff and visitor travel plan,,,,,
PM_30,30,,,,,"Site, ground and environmental information",,"PM_30 : Site, ground and environmental information",,,,,
PM_30_05,30,05,,,,Aquatic survey information,,PM_30_05 : Aquatic survey information,,,,,
PM_30_05_11,30,05,11,,,Canals survey information,,PM_30_05_11 : Canals survey information,,,,,
PM_30_05_15,30,05,15,,,Coastal survey information,,PM_30_05_15 : Coastal survey information,,,,,
PM_30_05_46,30,05,46,,,Lakes and ponds survey information,,PM_30_05_46 : Lakes and ponds survey information,,,,,
PM_30_05_70,30,05,70,,,Reservoirs survey information,,PM_30_05_70 : Reservoirs survey information,,,,,
PM_30_05_72,30,05,72,,,Rivers and streams survey information,,PM_30_05_72 : Rivers and streams survey information,,,,,
PM_30_05_73,30,05,73,,,River estuaries survey information,,PM_30_05_73 : River estuary survey information,,,,,
PM_30_10,30,10,,,,Site survey information,00-05-10/105 Site information,PM_30_10 : Site survey information,,,,,
PM_30_10_06,30,10,06,,,Bathymetric survey information,,PM_30_10_06 : Bathymetric survey information,,,,,
PM_30_10_10,30,10,10,,,Cadastral survey information,,PM_30_10_10 : Cadastral survey information,,,,,
PM_30_10_15,30,10,15,,,Condition survey information,,PM_30_10_15 : Condition survey information,,,,,
PM_30_10_22,30,10,22,,,Dimensional information,,PM_30_10_22 : Dimensional information,,,,,
PM_30_10_26,30,10,26,,,Electrical power quality assessment information,,PM_30_10_26 : Electrical power quality assessment information,,,,,
PM_30_10_28,30,10,28,,,Existing structure information,,PM_30_10_28 : Existing structure information,,,,,
PM_30_10_36,30,10,36,,,Historic site survey information,,PM_30_10_36 : Historic site survey information,,,,,
PM_30_10_37,30,10,37,,,Historic building survey information,,PM_30_10_37 : Historic building survey information,,,,,
PM_30_10_38,30,10,38,,,Hydraulic information,,PM_30_10_38 : Hydraulic information,,,,,
PM_30_10_39,30,10,39,,,Hydrological information,,PM_30_10_39 : Hydrological information,,,,,
PM_30_10_47,30,10,47,,,Land registration information,,PM_30_10_47 : Land registration information,,,,,
PM_30_10_49,30,10,49,,,Light detection and ranging (LIDAR) survey information,,PM_30_10_49 : Light detection and ranging (LIDAR) survey information,,,,,
PM_30_10_58,30,10,58,,,Mapping information,,PM_30_10_58 : Mapping information,,,,,
PM_30_10_60,30,10,60,,,Party wall survey information,,PM_30_10_60 : Party wall survey information,,,,,
PM_30_10_62,30,10,62,,,Pedestrian flow analysis information,,PM_30_10_62 : Pedestrian flow analysis information,,,,,
PM_30_10_64,30,10,64,,,Photogrammetry survey information,,PM_30_10_64 : Photogrammetry survey information,,,,,
PM_30_10_65,30,10,65,,,Preliminary site survey information,,PM_30_10_65 : Preliminary site survey information,,,,,
PM_30_10_73,30,10,73,,,Rights of light survey information,,PM_30_10_73 : Rights of light survey information,,,,,
